FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=195, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=96, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=59, fi_cycle=72, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=23, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=52, fi_cycle=28, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=fptrunc
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=5, fi_cycle=121, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=52, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=21, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=133, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=16, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=54, fi_cycle=68, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=21, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=43, fi_cycle=58, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=65, fi_cycle=38, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=6, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=18, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=load
